ISBN,bookname,authors,publisher,total_loans,best_rank,class_no,category
9791130635712 ,흔한남매 불꽃 튀는 우리말 1 - 초등 국어 고수 되기 프로젝트,흔한남매 (원작)|한은호,다산어린이,25369,126,None,비문학
9791164139750 ,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,25298,150,472,비문학
9791168415331 ,흔한남매 이상한 나라의 고전 읽기,최재훈 글 ;정주연 그림,미래엔,25124,118,813.5,문학
9791168414921 ,(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식,원작: 흔한남매 ;그림: 도니패밀리,미래엔,25109,185,388,비문학
9791164134649 ,(흔한남매) 안 흔한 일기,흔한남매 원작 ;조병주 그림,미래엔,24997,163,816.7,문학
9791170610359 ,시대예보 :핵개인의 시대 =Forecast of the times : era of nuclear individuals ,저자: 송길영,교보문고,24849,430,331.544,비문학
9791158883591 ,부자 아빠 가난한 아빠 :20주년 특별 기념판 ,지은이: 로버트 기요사키 ;옮긴이: 안진환,민음인,24768,149,327.04,비문학
9791192483191 ,눈에 갇힌 외딴 산장에서,"히가시노 게이고 (지은이), 김난주 (옮긴이)",재인,24625,414,None,비문학
9791165344009 ,(서울 자가에 대기업 다니는) 김 부장 이야기 ,송희구 지음,서삼독,24610,132,325.04,비문학
9791164137176 ,(흔한남매) 별난 방탈출 :탈출 미션 스토리북,흔한남매 원작 ;차차 그림,미래엔,24603,181,691,비문학
9791164060481 ,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,24592,158,833.6,문학
9791130637594 ,흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트,원작: 흔한남매 ;그림: 유희석,다산북스,24591,139,710,비문학
9788954641630 ,쇼코의 미소 :최은영 소설 ,지은이: 최은영,문학동네,24489,134,813.7,문학
9791165344221 ,(서울 자가에 대기업 다니는) 김 부장 이야기 ,송희구 지음,서삼독,24447,136,325.04,비문학
9788983711892 ,코스모스 :특별판 ,칼 세이건 지음 ;홍승수 옮김,사이언스북스,24438,120,443.1,비문학
9791130640280 ,흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트,원작: 흔한남매 ;그림: 유희석,다산북스,24417,151,710,비문학
9791190174756 ,"칵테일, 러브, 좀비 ",지은이: 조예은,안전가옥,24414,176,813.7,문학
9788932473901 ,이기적 유전자 ,리처드 도킨스 지음 ;이상임 옮김,을유문화사,24290,188,491.51,비문학
9788934905851 ,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,24259,131,400,비문학
9788964964767 ,오싹오싹 크레용! ,글: 에런 레이놀즈 ;옮김: 홍연미,토토북,24044,187,843,문학
9791167140722 ,황금종이 :조정래 장편소설 ,저자: 조정래,해냄(해냄출판사),24006,43,813.62,문학
9791164135158 ,(흔한남매) 안 흔한 일기,흔한남매 원작 ;조병주 그림,미래엔,23928,178,816.7,문학
9791193506516 ,(2500년 동안 사랑받은) 초역 부처의 말 :행복으로 가는 길은 없다 행복이 곧 길이다 ,코이케 류노스케 지음 ;박재현 옮김,콘텐츠그룹 포레스트,23818,19,224.2,비문학
